Domain,Area,Element,Item,Year,Value
"Crops and livestock products","World","Production","Eggs Primary","1993","41280768"
"Crops and livestock products","World","Production","Eggs Primary","2013","74265055"
"Crops and livestock products","World","Production","Milk, Total","1993","528268306"
"Crops and livestock products","World","Production","Milk, Total","2013","767790237"
